IB2300036139,2023-03-09T15:28:20.235,PL2300027099,TX,Mua sắm cân đồng hồ 100Kg năm 2023,Mua sắm cân đồng hồ 100Kg,CÔNG TY TNHH  MỘT THÀNH VIÊN CAO SU DẦU TIẾNG,CÔNG TY TNHH  MỘT THÀNH VIÊN CAO SU DẦU TIẾNG,Vốn sản xuất,HH,CHCTRG,TG,1,1_MTHS,30D,1,https://muasamcong.mpi.gov.vn,"220,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T10:00:00,2023-03-14T10:00:00,https://muasamcong.mpi.gov.vn,30D,0,Cam kết,77/QĐ-CSDT,2023-03-09T08:26:41.000+0000,Công ty TNHH MTV Cao su Dầu Tiếng,http://localhost:1234/api/download/file/browser/public?fileId=22f0c837-315d-44df-9b88-ac0f31329d38,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=ae11848b-094c-4f7b-b4a1-9ccc10a9a754,220726000,9,2023-03-14T10:03:34,"[['vn0310102481', 'CÔNG TY CỔ PHẦN KIẾN TRÚC ĐẦU TƯ XÂY DỰNG PHÁT NGUYÊN', 165100000, 0, 165100000, 30, 0, 0, '10D'], ['vn3702570599', 'CÔNG TY TNHH DƯƠNG HỒNG ANH', 197485000, 0, 197485000, 30, 0, 0, '7D'], ['vn0316763142', 'CÔNG TY TNHH XD - TM - DV PHAN HƯNG PHÁT', 176999900, 0, 176999900, 30, 0, 0, '10D'], ['vn3603682559', 'CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MINH MẪN PHÁT', 184150000, 0, 184150000, 30, 0, 0, '10D'], ['vn0314821776', 'CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ KIM BIÊN', 200000108, 0, 200000108, 30, 0, 0, '10D'], ['vn0315555245', 'CÔNG TY TNHH MỘT THÀNH VIÊN GIA PHÚC BCA', 199771000, 0, 199771000, 30, 0, 0, '10D'], ['vn0106810702', 'CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUỐC TẾ MINH LONG', 199009000, 0, 199009000, 30, 0, 0, '10D'], ['vn3702802881', 'CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI HỒNG PHI', 180340000, 0, 180340000, 30, 0, 0, '10D'], ['vn0202123526', 'CÔNG TY CỔ PHẦN QUỐC TẾ GREEN VINA', 171196000, 0, 171196000, 30, 0, 0, '10D']]"
IB2300035770,2023-03-09T11:00:47.883,PL2300027648,TX,Mua vật tư vườn cây kinh doanh đợt 3 năm 2023,Mua vật tư vườn cây kinh doanh đợt 3 năm 2023,CÔNG TY TNHH  MỘT THÀNH VIÊN CAO SU DẦU TIẾNG,CÔNG TY TNHH  MỘT THÀNH VIÊN CAO SU DẦU TIẾNG,Vốn sản xuất,HH,CHCTRG,TG,1,1_MTHS,10D,1,https://muasamcong.mpi.gov.vn,"220,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T08:00:00,2023-03-14T08:00:00,https://muasamcong.mpi.gov.vn,30D,0,Cam kết,73b/QĐ-CSDT,2023-03-02T03:51:21.000+0000,Công ty TNHH MTV Cao su Dầu Tiếng,http://localhost:1234/api/download/file/browser/public?fileId=207efd60-a0d2-4377-9931-cefac8125291,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=7a58be74-38dc-4a66-97ca-3a4432bf218b,164094000,1,2023-03-14T08:09:12,"[['vn3702849223', 'CÔNG TY TNHH VẬT TƯ CAO SU PHÚC AN KHANG', 157384700, 0, 157384700, 30, 0, 0, '10D']]"
IB2300031203,2023-03-09T09:11:49.538,PL2300024146,TX,"Mua sắm dụng cụ cấp dưỡng để đảm bảo nhu cầu vật chất
 phục vụ huấn luyện tân binh năm 2023","Mua sắm dụng cụ cấp dưỡng để đảm bảo nhu cầu vật chất
 phục vụ huấn luyện tân binh năm 2023",Trung tâm Huấn luyện và bồi dưỡng nghiệp vụ 2,Trung tâm Huấn luyện và bồi dưỡng nghiệp vụ 2,Kinh phí thường xuyên năm 2023,HH,CHCT,TG,1,1_MTHS,5D,1,https://muasamcong.mpi.gov.vn,"220,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T14:00:00,2023-03-14T14:00:00,https://muasamcong.mpi.gov.vn,45D,8000000,Cam kết,/QĐ-TTHL2-HĐTT,2023-03-08T02:09:24.000+0000,Trung tâm Huấn luyện và bồi dưỡng nghiệp vụ 2,http://localhost:1234/api/download/file/browser/public?fileId=2e0abcff-6370-440d-880e-e1530480ccda,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=7fd86984-810f-48e9-be45-6c8de94a96e4,685049000,2,2023-03-14T14:05:05,"[['vn1402110149', 'CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG PHÚ TIẾN', 684549495, 0, 684549495, 45, 8000000, 75, '5D'], ['vn3603164638', 'CÔNG TY TNHH XÂY DỰNG ĐẠI HỒNG PHƯỚC', 618328900, 0, 618328900, 45, 8000000, 75, '5D']]"
IB2300024904,2023-03-08T11:30:00.681,PL2300019523,DTPT,Kế hoạch lựa chọn nhà thầu năm 2023,Gói 20: Xây dựng tuyến 3 (đường từ đường tuần tra biên giới vào cột mốc 27),Bộ chỉ huy bộ đội biên phòng tỉnh Gia Lai,Bộ chỉ huy bộ đội biên phòng tỉnh Gia Lai,Ngân sách trung ương,XL,DTRR,TG,1,1_MTHS,300D,1,https://muasamcong.mpi.gov.vn,"330,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T07:00:00,2023-03-14T07:00:00,https://muasamcong.mpi.gov.vn,120D,156000000,Thư bảo lãnh,438/QĐ-BCH,2023-02-20T04:27:00.000+0000,Bộ chỉ huy Bộ đội Biên phòng tỉnh Gia Lai,http://localhost:1234/api/download/file/browser/public?fileId=6e82c176-6acf-43e4-96e9-9efd087e40ee,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=b45a9c3c-a5e3-4eab-9530-8ac7155cc2f4,15059920000,1,2023-03-14T07:53:47,"[['vn5900182136', 'CÔNG TY CỔ PHẦN LAM SƠN', 15040000000, 0, 15040000000, 120, 156000000, 150, '300D']]"
IB2300034342,2023-03-07T16:45:03.837,PL2300026459,TX,Mua sắm Téc nước cho các hộ thụ hưởng chính sách hỗ trợ nước sinh hoạt phân tán của Dự án 1 thuộc Chương trình MTQG phát triển kinh tế - xã hội vùng Đồng bào dân tộc thiểu số và miền núi năm 2023,Mua sắm Téc nước cho các hộ thụ hưởng chính sách hỗ trợ nước sinh hoạt phân tán của Dự án 1 thuộc Chương trình MTQG phát triển kinh tế - xã hội vùng Đồng bào dân tộc thiểu số và miền núi năm 2023,UBND xã Bàn Đạt,UBND xã Bàn Đạt,Nguồn vốn sự nghiệp chương trình MTQG phát triển Kinh tế xã hội vùng đồng bào dân tộc thiểu số và miền núi năm 2023 và vốn đối ứng của nhân dân,HH,CHCT,TG,1,1_MTHS,30D,1,https://muasamcong.mpi.gov.vn,"220,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T15:30:00,2023-03-14T15:30:00,https://muasamcong.mpi.gov.vn,60D,2000000,Cam kết,28/QĐ-UBND,2023-02-28T09:06:00.000+0000,UBND xã Bàn Đạt,http://localhost:1234/api/download/file/browser/public?fileId=868e134a-76a2-4639-9157-d81a0b645911,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=2a2430b4-577b-4a7f-b515-f9e746ea5475,190470000,3,2023-03-14T17:39:44,"[['vn0200742880', 'CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH HOÀ BÌNH', 188590000, 0, 188590000, 60, 2000000, 90, '30D'], ['vn6101264715', 'Công ty TNHH một thành viên Ánh Dương Solar', 181350000, 0, 181350000, 60, 2000000, 90, '30D'], ['vn4601255948', 'CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI HÙNG LOAN', 190260000, 0, 190260000, 60, 2000000, 90, '20D']]"
IB2300034343,2023-03-07T16:07:21.393,PL2300019208,TX,"Kế hoạch lựa chọn nhà thầu các gói thầu thuộc đề tài quỹ gen cấp tỉnh ""Bảo tồn nguồn gen cây Nghiến gân ba trên địa bàn tỉnh Thái Nguyên""","Gói thầu: Phân tích mẫu đất và giải trình tự gen AND, đánh giá đa dạng di truyền",Trường Đại học Nông Lâm – Đại học Thái Nguyên,Trường Đại học Nông Lâm – Đại học Thái Nguyên,Quỹ phát triển KH&CN tỉnh Thái Nguyên,PTV,CHCT,TG,1,1_MTHS,60D,1,https://muasamcong.mpi.gov.vn,"220,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T16:30:00,2023-03-14T16:30:00,https://muasamcong.mpi.gov.vn,90D,4500000,Cam kết,91/QĐ-ĐHNL-QTPV,2023-03-03T09:05:51.000+0000,Trường Đại học Nông Lâm,http://localhost:1234/api/download/file/browser/public?fileId=a1d316d5-6dad-4c24-a7f8-09d403d11de7,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=5260437c-8cde-4ebe-a5b1-ef522be62842,444158000,1,2023-03-14T16:41:03,"[['vn0106220943', 'Viện Công nghệ sinh học Lâm nghiệp', 427150000, 0, 427150000, 90, 4500000, 120, '60D']]"
IB2300028501,2023-03-09T17:46:51.408,PL2200047095,DTPT,Kế hoạch lựa chọn nhà thầu bước lập Báo cáo kinh tế - kỹ thuật,Gói thầu số 02: Thi công xây dựng,Cục Đường bộ Việt Nam,Ban Quản lý dự án 8,Ngân sách nhà nước (sự nghiệp chi hoạt động kinh tế đường bộ).,XL,DTRR,TG,1,1_MTHS,90D,1,https://muasamcong.mpi.gov.vn,"330,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T16:00:00,2023-03-14T16:00:00,https://muasamcong.mpi.gov.vn,150D,57000000,Thư bảo lãnh,831/QĐ-CĐBVN,2023-02-20T10:36:58.000+0000,Cục Đường bộ Việt Nam,http://localhost:1234/api/download/file/browser/public?fileId=c2845d41-03e2-4875-b242-065cd02dc7e1,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=1f3281b0-f2ac-4b4c-9bce-b6c28df137cc,5511310000,4,2023-03-14T16:01:22,"[['vn0301921332', 'CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG HỒNG LIÊM', 5542033575, 0, 5542033575, 150, 57000000, 180, '90D'], ['vn1500342370', 'CÔNG TY CỔ PHẦN 715.', 4980506252, 0, 4980506252, 150, 57000000, 180, '90D'], ['vn0103650673', 'CÔNG TY CỔ PHẦN  CE VIỆT NAM ', 5610268666, 0, 5610268666, 150, 57000000, 180, '90D'], ['vn1401222315', 'CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ XÂY DỰNG TÂY NAM', 5638600179, 0, 5394448791.2493, 150, 57000000, 180, '90D']]"
IB2300034473,2023-03-07T22:24:06.783,PL2300018668,TX,In và phát hành Bản tin Thông báo nội bộ năm 2023 của Ban Tuyên giáo Tỉnh ủy,In và phát hành Bản tin Thông báo nội bộ năm 2023 của Ban Tuyên giáo Tỉnh ủy,Ban Tuyên giáo Tỉnh ủy Tuyên Quang                                        ,Ban Tuyên giáo Tỉnh ủy Tuyên Quang                                        ,Nguồn kinh giao tại Quyết định số 686/QĐ-UBND ngày 12/12/2022 của UBND tỉnh,PTV,CHCT,TG,1,1_MTHS,10M,1,https://muasamcong.mpi.gov.vn,"220,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T23:00:00,2023-03-14T23:00:00,https://muasamcong.mpi.gov.vn,120D,20000000,Thư bảo lãnh,235-QĐ/BTGTU,2023-03-06T15:21:31.000+0000,Ban Tuyên giáo Tỉnh ủy Tuyên Quang,http://localhost:1234/api/download/file/browser/public?fileId=f8ad8bc7-c27d-4c52-81a6-4ac4bd9c34f5,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=ebcf3ccf-c49e-4b25-a117-938e9ab4086e,1418560000,1,2023-03-14T23:07:18,"[['vn5000678651', 'CÔNG TY TRÁCH NHIỆM HỮU HẠN IN VŨ LIÊN', 1413600000, 0, 1413600000, 120, 20000000, 150, '300D']]"
IB2300035747,2023-03-09T10:39:48.297,PL2300027647,TX,"Thuê đơn vị thu gom, vận chuyển và xử lý chất thải nguy hại toàn Công ty","Thuê đơn vị thu gom, vận chuyển và xử lý chất thải nguy hại toàn Công ty",CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN CAO SU KON TUM,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN CAO SU KON TUM,Vốn kinh doanh năm 2023,PTV,CHCTRG,TG,1,1_MTHS,12M,1,https://muasamcong.mpi.gov.vn,"220,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T10:30:00,2023-03-14T10:30:00,https://muasamcong.mpi.gov.vn,30D,0,Cam kết,85A/QĐ-CSKT,2023-02-24T03:37:30.000+0000,Tổng Giám đốc Công ty TNHH MTV cao su Kon Tum,http://localhost:1234/api/download/file/browser/public?fileId=ba2e636c-d6e1-4619-aeb3-266b2fcbfd1f,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=15e5761e-3a13-43f2-8275-0322b0617254,79000000,2,2023-03-14T10:33:41,"[['vn0200576224', 'CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG AN SINH  ', 61600000, 0, 61600000, 30, 0, 0, '270D'], ['vn4100824110', 'CÔNG TY TNHH THƯƠNG MẠI VÀ MÔI TRƯỜNG HẬU SANH', 78000000, 0, 78000000, 30, 0, 0, '270D']]"
IB2300035513,2023-03-09T09:06:59.036,PL2300027447,TX,Lấy mẫu quan trắc các chỉ tiêu môi trường phục vụ báo cáo công tác bảo vệ môi trường định kỳ cho các Nông trường năm 2023,Lấy mẫu quan trắc các chỉ tiêu môi trường phục vụ báo cáo công tác bảo vệ môi trường định kỳ cho các Nông trường năm 2023,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN CAO SU KON TUM,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN CAO SU KON TUM,Nguồn vốn kinh doanh năm 2023,PTV,CHCTRG,TG,1,1_MTHS,300D,1,https://muasamcong.mpi.gov.vn,"220,000 VND",https://muasamcong.mpi.gov.vn,23,2023-03-14T09:00:00,2023-03-14T09:00:00,https://muasamcong.mpi.gov.vn,30D,0,Cam kết,106A/QĐ-CSKT,2023-03-06T02:04:42.000+0000,Tổng giám đốc Công ty TNHH MTV cao su Kon Tum,http://localhost:1234/api/download/file/browser/public?fileId=58775eec-5d68-4236-861a-0689a90c2fba,https://muasamcong.mpi.gov.vn/egp/contractorfe/viewer?formCode=ALL&id=1d1538c7-a440-49c6-8a87-ba7a2e07e88b,234003000,6,2023-03-14T09:10:20,"[['vn6101208654', 'CÔNG TY TNHH PHÚ THÀNH TIẾN PHÁT', 193960000, 0, 193960000, 30, 0, 0, '300D'], ['vn0316727024', 'CÔNG TY CỔ PHẦN AN TOÀN - SỨC KHỎE - MÔI TRƯỜNG NAM VIỆT', 233440000, 0, 163408000, 30, 0, 0, '300D'], ['vn4300318432', 'Trung tâm Kỹ thuật quan trắc môi trường', 104800000, 0, 99560000, 30, 0, 0, '300D'], ['vn0312014368', 'CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TƯ VẤN MÔI TRƯỜNG TÂN HUY HOÀNG', 301772000, 0, 286683400, 30, 0, 0, '300D'], ['vn0108088592', 'CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ MÔI TRƯỜNG CEC', 229328000, 0, 160529600, 30, 0, 0, '300D'], ['vn6100389944', 'TRUNG TÂM QUAN TRẮC TÀI NGUYÊN VÀ MÔI TRƯỜNG TỈNH KON TUM', 227953000, 0, 227953000, 30, 0, 0, '300D']]"
